fk_sucursal	distribuidor_id	sucursal	direccion_sucursal	coordenadas	latitud	longitud	activo
847	982	SUZUKI MOTOS MANTE	Hermenegildo Galeana	NULL	19.0575030	-98.2218361	1
848	735	VENTO ZAPOPAN OCEAN	Av. Hidalgo 280, Zapopan, 45100 Zapopan, Jal.	NULL	20.7222940	-103.3938683	1
849	594	ZOOM PLAN DE SAN LUIS	1175, Circunvalación Jorge Álvarez del Castillo, Chapultepec Country, Guadalajara, Región Centro, Jalisco, 44620, México	20.698321690722395, -103.37014795397135	20.6983217	-103.3701480	1
850	723	CF MOTO FEDERALISMO	Steren, Ciclovía Federalismo, Barrio de Mezquitán, Guadalajara, Región Centro, Jalisco, 44100, México	20.69876813450277, -103.35469997553881	20.6987681	-103.3547000	1
851	550	DINAMO ESCOBEDO	Av. Los Pinos	NULL	25.7847000	-100.3105000	1
852	716	HONDA LAS AGUILAS COM	NULL	NULL	NULL	NULL	1
856	922	PARA SU MOTO	C. Prol. Urdiñola	NULL	16.2311810	-93.8968230	1
857	577	TVS LOS TUXTLAS	Carretera Costera del Golfo, Prolongación Primitivo R. Valencia, San Andrés Tuxtla, Veracruz, 95700, México	18.454872198571863, -95.21616259209783	18.4548722	-95.2161626	1
858	978	ZMOTOS YAVEO OAXACA	CARRETERA FEDERAL TUXTEPEC-PALOMARES KM 106+406, 68963 Oax., México	NULL	17.4714000	-95.4574000	1
859	649	MARTI MOTOR SPORTS AGUASCALIENTES	Av. Universidad	NULL	NULL	NULL	1
860	735	VENTO TONALA	AV TONALTECAS 375 LOC 5A, TONALA JALISCO	10.632597,-103.245049	NULL	NULL	1
861	554	CF MOTOS CORDOBA	Avenida 3	NULL	18.8861200	-96.9274500	1
862	562	ZMOTO TAPACHULA	Calle 2a. Oriente	NULL	14.9097624	-92.2640337	1
863	895	BICIMOTOS AVIACION	Av. Itzáes	NULL	20.9615000	-89.6416200	1
864	895	BICIMOTOS MONTEJO	Calle 30	NULL	21.0050500	-89.6145800	1
865	895	BICIMOTOS PROGRESO	Calle 37	NULL	21.2780749	-89.6844439	1
866	669	TVS TAPACHUILA	Calle 2a. Oriente	NULL	14.9034880	-92.2602843	1
867	562	BAJAJ HUIXTLA	Av. Central Norte	NULL	15.1473784	-92.4610895	1
868	562	BAJAJ TAPACHULA	Central Norte	NULL	14.9088000	-92.2618100	1
870	594	ZMOTO YAVEO OAXACA	Av. Ferrocarril 405, Santa Lucía del Camino, Oaxaca, C.P. 71243	NULL	17.0604884	-96.7040228	1
871	578	HONDA BOCA DEL RIO	Calzada Juan Pablo II	NULL	19.0944500	-96.1046600	1
872	578	HONDA TUXTEPEC	Av. Independencia 1734, La Piragua, 68310 San Juan Bautista Tuxtepec, Oax.	NULL	18.0832854	-96.1364049	1
873	578	HONDATIERRA BLANCA	CARRETERA MÉXICO 145, OBRERA, 95190 TIERRA BLANCA, VER.	NULL	18.4487897	-96.3497521	1
